seq_events,GAME_ID,YEAR_ID,AWAY_TEAM_ID,INN_CT,BAT_HOME_ID,OUTS_CT,BALLS_CT,STRIKES_CT,PITCH_SEQ_TX,AWAY_SCORE_CT,HOME_SCORE_CT,BAT_ID,BAT_HAND_CD,RESP_BAT_ID,RESP_BAT_HAND_CD,PIT_ID,PIT_HAND_CD,RES_PIT_ID,RES_PIT_HAND_CD,POS2_FLD_ID,POS3_FLD_ID,POS4_FLD_ID,POS5_FLD_ID,POS6_FLD_ID,POS7_FLD_ID,POS8_FLD_ID,POS9_FLD_ID,BASE1_RUN_ID,BASE2_RUN_ID,BASE3_RUN_ID,EVENT_TX,LEADOFF_FL,PH_FL,BAT_FLD_CD,BAT_LINEUP_ID,EVENT_CD,BAT_EVENT_FL,AB_FL,H_CD,SH_FL,SF_FL,EVENT_OUTS_CT,DP_FL,TP_FL,RBI_CT,WP_FL,PB_FL,FLD_CD,BATTEDBALL_CD,BUNT_FL,FOUL_FL,BATTEDBALL_LOC_TX,ERR_CT,ERR1_FLD_CD,ERR1_CD,ERR2_FLD_CD,ERR2_CD,ERR3_FLD_CD,ERR3_CD,BAT_DEST_ID,RUN1_DEST_ID,RUN2_DEST_ID,RUN3_DEST_ID,BAT_PLAY_TX,RUN1_PLAY_TX,RUN2_PLAY_TX,RUN3_PLAY_TX,RUN1_SB_FL,RUN2_SB_FL,RUN3_SB_FL,RUN1_CS_FL,RUN2_CS_FL,RUN3_CS_FL,RUN1_PK_FL,RUN2_PK_FL,RUN3_PK_FL,RUN1_RESP_PIT_ID,RUN2_RESP_PIT_ID,RUN3_RESP_PIT_ID,GAME_NEW_FL,GAME_END_FL,PR_RUN1_FL,PR_RUN2_FL,PR_RUN3_FL,REMOVED_FOR_PR_RUN1_ID,REMOVED_FOR_PR_RUN2_ID,REMOVED_FOR_PR_RUN3_ID,REMOVED_FOR_PH_BAT_ID,REMOVED_FOR_PH_BAT_FLD_CD,PO1_FLD_CD,PO2_FLD_CD,PO3_FLD_CD,ASS1_FLD_CD,ASS2_FLD_CD,ASS3_FLD_CD,ASS4_FLD_CD,ASS5_FLD_CD,EVENT_ID,HOME_TEAM_ID,BAT_TEAM_ID,FLD_TEAM_ID,BAT_LAST_ID,INN_NEW_FL,INN_END_FL,START_BAT_SCORE_CT,START_FLD_SCORE_CT,INN_RUNS_CT,GAME_PA_CT,INN_PA_CT,PA_NEW_FL,PA_TRUNC_FL,START_BASES_CD,END_BASES_CD,BAT_START_FL,RESP_BAT_START_FL,PIT_START_FL,RESP_PIT_START_FL,RUN1_FLD_CD,RUN1_LINEUP_ID,RUN1_ORIGIN_EVENT_ID,RUN2_FLD_CD,RUN2_LINEUP_ID,RUN2_ORIGIN_EVENT_ID,RUN3_FLD_CD,RUN3_LINEUP_ID,RUN3_ORIGIN_EVENT_ID,RUN1_RESP_CATCH_ID,RUN2_RESP_CATCH_ID,RUN3_RESP_CATCH_ID,PA_BALL_CT,PA_CALLED_BALL_CT,PA_INTENT_BALL_CT,PA_PITCHOUT_BALL_CT,PA_HIT_BALL_CT,PA_OTHER_BALL_CT,PA_STRIKE_CT,PA_CALLED_STRIKE_CT,PA_SWINGMISS_STRIKE_CT,PA_FOUL_STRIKE_CT,PA_BIP_STRIKE_CT,PA_OTHER_STRIKE_CT,EVENT_RUNS_CT,FLD_ID,BASE2_FORCE_FL,BASE3_FORCE_FL,BASE4_FORCE_FL,BAT_SAFE_ERR_FL,BAT_FATE_ID,RUN1_FATE_ID,RUN2_FATE_ID,RUN3_FATE_ID,FATE_RUNS_CT,ASS6_FLD_CD,ASS7_FLD_CD,ASS8_FLD_CD,ASS9_FLD_CD,ASS10_FLD_CD,UNKNOWN_OUT_EXC_FL,UNCERTAIN_PLAY_EXC_FL
9991263,ANA201604040,2016,CHN,1,0,0,1,0,BX,0,0,fowld001,L,fowld001,L,richg002,R,richg002,R,perec003,cronc002,giavj001,escoy001,simma001,navad002,troum001,calhk001,,,,D9/G+,T,F,8,1,21,T,T,2,F,F,0,F,F,0,F,F,9,G,F,F,,0,0,N,0,N,0,N,2,0,0,0,,,,,F,F,F,F,F,F,F,F,F,,,,T,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,1,ANA,CHN,ANA,0,T,F,0,0,0,0,0,T,F,0,2,T,T,T,T,0,0,0,0,0,0,0,0,0,,,,1,1,0,0,0,0,1,0,0,0,1,0,0,calhk001,F,F,F,F,4,0,0,0,1,0,0,0,0,0,F,F
9991264,ANA201604040,2016,CHN,1,0,0,0,0,X,0,0,heywj001,L,heywj001,L,richg002,R,richg002,R,perec003,cronc002,giavj001,escoy001,simma001,navad002,troum001,calhk001,,fowld001,,63/G.2-3,F,F,9,2,2,T,T,0,F,F,1,F,F,0,F,F,6,G,F,F,,0,0,N,0,N,0,N,0,0,3,0,63,,,,F,F,F,F,F,F,F,F,F,,richg002,,F,F,F,F,F,,,,,0,3,0,0,6,0,0,0,0,2,ANA,CHN,ANA,0,F,F,0,0,0,1,1,T,F,2,4,T,T,T,T,0,0,0,8,1,1,0,0,0,,perec003,,0,0,0,0,0,0,1,0,0,0,1,0,0,simma001,F,F,F,F,0,0,4,0,1,0,0,0,0,0,F,F
9991265,ANA201604040,2016,CHN,1,0,1,0,2,SFS,0,0,zobrb001,L,zobrb001,L,richg002,R,richg002,R,perec003,cronc002,giavj001,escoy001,simma001,navad002,troum001,calhk001,,,fowld001,K,F,F,4,3,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,0,0,3,2,,,,F,F,F,F,F,F,F,F,F,,,richg002,F,F,F,F,F,,,,,0,2,0,0,0,0,0,0,0,3,ANA,CHN,ANA,0,F,F,0,0,0,2,2,T,F,4,4,T,T,T,T,0,0,0,0,0,0,8,1,1,,,perec003,0,0,0,0,0,0,3,0,2,1,0,0,0,,F,F,F,F,0,0,0,4,1,0,0,0,0,0,F,F
9991266,ANA201604040,2016,CHN,1,0,2,1,1,BCX,0,0,rizza001,L,rizza001,L,richg002,R,richg002,R,perec003,cronc002,giavj001,escoy001,simma001,navad002,troum001,calhk001,,,fowld001,S8/G.3-H,F,F,3,4,20,T,T,1,F,F,0,F,F,1,F,F,8,G,F,F,,0,0,N,0,N,0,N,1,0,0,4,,,,,F,F,F,F,F,F,F,F,F,,,richg002,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,4,ANA,CHN,ANA,0,F,F,0,0,0,3,3,T,F,4,1,T,T,T,T,0,0,0,0,0,0,8,1,1,,,perec003,1,1,0,0,0,0,2,1,0,0,1,0,1,troum001,F,F,F,F,0,0,0,4,0,0,0,0,0,0,F,F
9991267,ANA201604040,2016,CHN,1,0,2,2,2,BSS*B1S,1,0,bryak001,R,bryak001,R,richg002,R,richg002,R,perec003,cronc002,giavj001,escoy001,simma001,navad002,troum001,calhk001,rizza001,,,K23,F,F,5,5,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,1,0,0,23,,,,F,F,F,F,F,F,F,F,F,richg002,,,F,F,F,F,F,,,,,0,3,0,0,2,0,0,0,0,5,ANA,CHN,ANA,0,F,T,1,0,1,4,4,T,F,1,1,T,T,T,T,3,4,4,0,0,0,0,0,0,perec003,,,2,2,0,0,0,0,3,0,3,0,0,0,0,,F,F,F,F,0,0,0,0,0,0,0,0,0,0,F,F
9991268,ANA201604040,2016,CHN,1,1,0,2,0,BBX,1,0,escoy001,R,escoy001,R,arrij001,R,arrij001,R,montm001,rizza001,zobrb001,bryak001,russa002,schwk001,fowld001,heywj001,,,,13/G-,T,F,5,1,2,T,T,0,F,F,1,F,F,0,F,F,1,G,F,F,,0,0,N,0,N,0,N,0,0,0,0,13,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,3,0,0,1,0,0,0,0,6,ANA,ANA,CHN,1,T,F,0,1,0,0,0,T,F,0,0,T,T,T,T,0,0,0,0,0,0,0,0,0,,,,2,2,0,0,0,0,1,0,0,0,1,0,0,arrij001,F,F,F,F,0,0,0,0,0,0,0,0,0,0,F,F
9991269,ANA201604040,2016,CHN,1,1,1,1,1,BCX,1,0,navad002,L,navad002,L,arrij001,R,arrij001,R,montm001,rizza001,zobrb001,bryak001,russa002,schwk001,fowld001,heywj001,,,,8/F,F,F,7,2,2,T,T,0,F,F,1,F,F,0,F,F,8,F,F,F,,0,0,N,0,N,0,N,0,0,0,0,8,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,8,0,0,0,0,0,0,0,7,ANA,ANA,CHN,1,F,F,0,1,0,1,1,T,F,0,0,T,T,T,T,0,0,0,0,0,0,0,0,0,,,,1,1,0,0,0,0,2,1,0,0,1,0,0,fowld001,F,F,F,F,0,0,0,0,0,0,0,0,0,0,F,F
9991270,ANA201604040,2016,CHN,1,1,2,0,1,CX,1,0,troum001,R,troum001,R,arrij001,R,arrij001,R,montm001,rizza001,zobrb001,bryak001,russa002,schwk001,fowld001,heywj001,,,,4/L,F,F,8,3,2,T,T,0,F,F,1,F,F,0,F,F,4,L,F,F,,0,0,N,0,N,0,N,0,0,0,0,4,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,4,0,0,0,0,0,0,0,8,ANA,ANA,CHN,1,F,T,0,1,0,2,2,T,F,0,0,T,T,T,T,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,2,1,0,0,1,0,0,zobrb001,F,F,F,F,0,0,0,0,0,0,0,0,0,0,F,F
9991271,ANA201604040,2016,CHN,2,0,0,1,2,BCCS,1,0,schwk001,L,schwk001,L,richg002,R,richg002,R,perec003,cronc002,giavj001,escoy001,simma001,navad002,troum001,calhk001,,,,K,T,F,7,6,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,0,0,0,2,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,2,0,0,0,0,0,0,0,9,ANA,CHN,ANA,0,T,F,1,0,0,5,0,T,F,0,0,T,T,T,T,0,0,0,0,0,0,0,0,0,,,,1,1,0,0,0,0,3,2,1,0,0,0,0,,F,F,F,F,0,0,0,0,0,0,0,0,0,0,F,F
9991272,ANA201604040,2016,CHN,2,0,1,1,2,SBFX,1,0,solej001,R,solej001,R,richg002,R,richg002,R,perec003,cronc002,giavj001,escoy001,simma001,navad002,troum001,calhk001,,,,13/G-,F,F,10,7,2,T,T,0,F,F,1,F,F,0,F,F,1,G,F,F,,0,0,N,0,N,0,N,0,0,0,0,13,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,3,0,0,1,0,0,0,0,10,ANA,CHN,ANA,0,F,F,1,0,0,6,1,T,F,0,0,T,T,T,T,0,0,0,0,0,0,0,0,0,,,,1,1,0,0,0,0,3,0,1,1,1,0,0,richg002,F,F,F,F,0,0,0,0,0,0,0,0,0,0,F,F
9991273,ANA201604040,2016,CHN,2,0,2,3,2,SFBBBS,1,0,montm001,L,montm001,L,richg002,R,richg002,R,perec003,cronc002,giavj001,escoy001,simma001,navad002,troum001,calhk001,,,,K,F,F,2,8,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,0,0,0,2,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,2,0,0,0,0,0,0,0,11,ANA,CHN,ANA,0,F,T,1,0,0,7,2,T,F,0,0,T,T,T,T,0,0,0,0,0,0,0,0,0,,,,3,3,0,0,0,0,3,0,2,1,0,0,0,,F,F,F,F,0,0,0,0,0,0,0,0,0,0,F,F
9991274,ANA201604040,2016,CHN,2,1,0,2,1,FBBX,1,0,pujoa001,R,pujoa001,R,arrij001,R,arrij001,R,montm001,rizza001,zobrb001,bryak001,russa002,schwk001,fowld001,heywj001,,,,7/L,T,F,10,4,2,T,T,0,F,F,1,F,F,0,F,F,7,L,F,F,,0,0,N,0,N,0,N,0,0,0,0,7,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,7,0,0,0,0,0,0,0,12,ANA,ANA,CHN,1,T,F,0,1,0,3,0,T,F,0,0,T,T,T,T,0,0,0,0,0,0,0,0,0,,,,2,2,0,0,0,0,2,0,0,1,1,0,0,schwk001,F,F,F,F,0,0,0,0,0,0,0,0,0,0,F,F
9991275,ANA201604040,2016,CHN,2,1,1,1,2,FBSX,1,0,calhk001,L,calhk001,L,arrij001,R,arrij001,R,montm001,rizza001,zobrb001,bryak001,russa002,schwk001,fowld001,heywj001,,,,S9/L+,F,F,9,5,20,T,T,1,F,F,0,F,F,0,F,F,9,L,F,F,,0,0,N,0,N,0,N,1,0,0,0,,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,13,ANA,ANA,CHN,1,F,F,0,1,0,4,1,T,F,0,1,T,T,T,T,0,0,0,0,0,0,0,0,0,,,,1,1,0,0,0,0,3,0,1,1,1,0,0,heywj001,F,F,F,F,0,0,0,0,0,0,0,0,0,0,F,F
9991276,ANA201604040,2016,CHN,2,1,1,0,1,C1X,1,0,cronc002,R,cronc002,R,arrij001,R,arrij001,R,montm001,rizza001,zobrb001,bryak001,russa002,schwk001,fowld001,heywj001,calhk001,,,9/F,F,F,3,6,2,T,T,0,F,F,1,F,F,0,F,F,9,F,F,F,,0,0,N,0,N,0,N,0,1,0,0,9,,,,F,F,F,F,F,F,F,F,F,arrij001,,,F,F,F,F,F,,,,,0,9,0,0,0,0,0,0,0,14,ANA,ANA,CHN,1,F,F,0,1,0,5,2,T,F,1,1,T,T,T,T,9,5,13,0,0,0,0,0,0,montm001,,,0,0,0,0,0,0,2,1,0,0,1,0,0,heywj001,F,F,F,F,0,0,0,0,0,0,0,0,0,0,F,F
9991277,ANA201604040,2016,CHN,2,1,2,0,2,CCC,1,0,simma001,R,simma001,R,arrij001,R,arrij001,R,montm001,rizza001,zobrb001,bryak001,russa002,schwk001,fowld001,heywj001,calhk001,,,K,F,F,6,7,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,1,0,0,2,,,,F,F,F,F,F,F,F,F,F,arrij001,,,F,F,F,F,F,,,,,0,2,0,0,0,0,0,0,0,15,ANA,ANA,CHN,1,F,T,0,1,0,6,3,T,F,1,1,T,T,T,T,9,5,13,0,0,0,0,0,0,montm001,,,0,0,0,0,0,0,3,3,0,0,0,0,0,,F,F,F,F,0,0,0,0,0,0,0,0,0,0,F,F
9991278,ANA201604040,2016,CHN,3,0,0,3,2,CCBBBB,1,0,russa002,R,russa002,R,richg002,R,richg002,R,perec003,cronc002,giavj001,escoy001,simma001,navad002,troum001,calhk001,,,,W,T,F,6,9,14,T,F,0,F,F,0,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,1,0,0,0,,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,16,ANA,CHN,ANA,0,T,F,1,0,0,8,0,T,F,0,1,T,T,T,T,0,0,0,0,0,0,0,0,0,,,,4,4,0,0,0,0,2,2,0,0,0,0,0,,F,F,F,F,0,0,0,0,0,0,0,0,0,0,F,F
9991279,ANA201604040,2016,CHN,3,0,0,0,1,CX,1,0,fowld001,L,fowld001,L,richg002,R,richg002,R,perec003,cronc002,giavj001,escoy001,simma001,navad002,troum001,calhk001,russa002,,,S9/L+.1-2,F,F,8,1,20,T,T,1,F,F,0,F,F,0,F,F,9,L,F,F,,0,0,N,0,N,0,N,1,2,0,0,,,,,F,F,F,F,F,F,F,F,F,richg002,,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,17,ANA,CHN,ANA,0,F,F,1,0,0,9,1,T,F,1,3,T,T,T,T,6,9,16,0,0,0,0,0,0,perec003,,,0,0,0,0,0,0,2,1,0,0,1,0,0,calhk001,F,F,F,F,0,0,0,0,0,0,0,0,0,0,F,F
9991280,ANA201604040,2016,CHN,3,0,0,1,2,CS*BS,1,0,heywj001,L,heywj001,L,richg002,R,richg002,R,perec003,cronc002,giavj001,escoy001,simma001,navad002,troum001,calhk001,fowld001,russa002,,K,F,F,9,2,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,1,2,0,2,,,,F,F,F,F,F,F,F,F,F,richg002,richg002,,F,F,F,F,F,,,,,0,2,0,0,0,0,0,0,0,18,ANA,CHN,ANA,0,F,F,1,0,0,10,2,T,F,3,3,T,T,T,T,8,1,17,6,9,16,0,0,0,perec003,perec003,,1,1,0,0,0,0,3,1,2,0,0,0,0,,F,F,F,F,0,0,0,0,0,0,0,0,0,0,F,F
9991281,ANA201604040,2016,CHN,3,0,1,0,0,X,1,0,zobrb001,L,zobrb001,L,richg002,R,richg002,R,perec003,cronc002,giavj001,escoy001,simma001,navad002,troum001,calhk001,fowld001,russa002,,46(1)3/GDP,F,F,4,3,2,T,T,0,F,F,2,T,F,0,F,F,4,G,F,F,,0,0,N,0,N,0,N,0,0,2,0,63,46,,,F,F,F,F,F,F,F,F,F,richg002,richg002,,F,F,F,F,F,,,,,0,6,3,0,4,6,0,0,0,19,ANA,CHN,ANA,0,F,T,1,0,0,11,3,T,F,3,2,T,T,T,T,8,1,17,6,9,16,0,0,0,perec003,perec003,,0,0,0,0,0,0,1,0,0,0,1,0,0,giavj001,T,F,F,F,0,0,0,0,0,0,0,0,0,0,F,F
9991282,ANA201604040,2016,CHN,3,1,0,3,0,BBBB,1,0,perec003,R,perec003,R,arrij001,R,arrij001,R,montm001,rizza001,zobrb001,bryak001,russa002,schwk001,fowld001,heywj001,,,,W,T,F,2,8,14,T,F,0,F,F,0,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,1,0,0,0,,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,20,ANA,ANA,CHN,1,T,F,0,1,0,7,0,T,F,0,1,T,T,T,T,0,0,0,0,0,0,0,0,0,,,,4,4,0,0,0,0,0,0,0,0,0,0,0,,F,F,F,F,0,0,0,0,0,0,0,0,0,0,F,F
9991283,ANA201604040,2016,CHN,3,1,0,0,2,CFX,1,0,giavj001,R,giavj001,R,arrij001,R,arrij001,R,montm001,rizza001,zobrb001,bryak001,russa002,schwk001,fowld001,heywj001,perec003,,,64(1)/FO/G,F,F,4,9,2,T,T,0,F,F,1,F,F,0,F,F,6,G,F,F,,0,0,N,0,N,0,N,1,0,0,0,,64,,,F,F,F,F,F,F,F,F,F,arrij001,,,F,F,F,F,F,,,,,0,4,0,0,6,0,0,0,0,21,ANA,ANA,CHN,1,F,F,0,1,0,8,1,T,F,1,1,T,T,T,T,2,8,20,0,0,0,0,0,0,montm001,,,0,0,0,0,0,0,3,1,0,1,1,0,0,russa002,T,F,F,F,0,0,0,0,0,0,0,0,0,0,F,F
9991284,ANA201604040,2016,CHN,3,1,1,0,0,1X,1,0,escoy001,R,escoy001,R,arrij001,R,arrij001,R,montm001,rizza001,zobrb001,bryak001,russa002,schwk001,fowld001,heywj001,giavj001,,,4/L/DP.1X1(43),F,F,5,1,2,T,T,0,F,F,2,T,F,0,F,F,4,L,F,F,,0,0,N,0,N,0,N,0,0,0,0,4,43,,,F,F,F,F,F,F,F,F,F,arrij001,,,F,F,F,F,F,,,,,0,4,3,0,4,0,0,0,0,22,ANA,ANA,CHN,1,F,T,0,1,0,9,2,T,F,1,0,T,T,T,T,4,9,21,0,0,0,0,0,0,montm001,,,0,0,0,0,0,0,1,0,0,0,1,0,0,zobrb001,F,F,F,F,0,0,0,0,0,0,0,0,0,0,F,F
